Name,Product Type,Quantity Sold,Date Sold,Product Price (SGD)
Mizuna,Leafy Green,28,25/2/2020,3.8
Chye Sim,Leafy Green,43,25/2/2020,3.5
Mizuna,Leafy Green,21,26/2/2020,3.8
Green Emerald Lettuce,Leafy Green,34,26/2/2020,4.0
Ruby Red Lettuce,Leafy Green,23,27/2/2020,4.0
Chye Sim,Leafy Green,46,27/2/2020,3.5
Basil,Herb,9,28/2/2020,2.5
Mizuna,Leafy Green,25,28/2/2020,3.8
Ruby Red Lettuce,Leafy Green,28,28/2/2020,4.0
Chye Sim,Leafy Green,35,29/2/2020,3.5
Green Emerald Lettuce,Leafy Green,34,29/2/2020,4.0
Mint,Herb,8,29/2/2020,2.5
Mint,Herb,9,1/3/2020,2.5
Chye Sim,Leafy Green,37,1/3/2020,3.5
Ruby Red Lettuce,Leafy Green,28,1/3/2020,4.0
Mizuna,Leafy Green,22,2/3/2020,3.8
Green Emerald Lettuce,Leafy Green,33,2/3/2020,4.0
Basil,Herb,13,3/3/2020,2.5
Mizuna,Leafy Green,25,4/3/2020,3.8
Ruby Red Lettuce,Leafy Green,23,4/3/2020,4.0
Mint,Herb,8,5/3/2020,2.5
Basil,Herb,14,5/3/2020,2.5
Green Emerald Lettuce,Leafy Green,45,6/3/2020,4.0
Chye Sim,Leafy Green,49,6/3/2020,3.5
Green Emerald Lettuce,Leafy Green,33,7/3/2020,4.0
Chye Sim,Leafy Green,35,9/3/2020,3.5
Mizuna,Leafy Green,26,9/3/2020,3.8
Ruby Red Lettuce,Leafy Green,23,9/3/2020,4.0
Chye Sim,Leafy Green,55,10/3/2020,3.5
Mizuna,Leafy Green,27,11/3/2020,3.8
Ruby Red Lettuce,Leafy Green,31,11/3/2020,4.0
Mint,Herb,9,12/3/2020,2.5
Green Emerald Lettuce,Leafy Green,45,12/3/2020,4.0
Basil,Herb,15,12/3/2020,2.5
Basil,Herb,14,13/3/2020,2.5
Chye Sim,Leafy Green,39,14/3/2020,3.5
Mint,Herb,9,14/3/2020,2.5
Mizuna,Leafy Green,26,14/3/2020,3.8
Green Emerald Lettuce,Leafy Green,51,14/3/2020,4.0
Ruby Red Lettuce,Leafy Green,30,15/3/2020,4.0
Green Emerald Lettuce,Leafy Green,33,16/3/2020,4.0
Mizuna,Leafy Green,25,16/3/2020,3.8
Ruby Red Lettuce,Leafy Green,26,17/3/2020,4.0
Chye Sim,Leafy Green,39,17/3/2020,3.5
Mint,Herb,8,18/3/2020,2.5
Mizuna,Leafy Green,29,18/3/2020,3.8
Chye Sim,Leafy Green,52,18/3/2020,3.5
Green Emerald Lettuce,Leafy Green,48,18/3/2020,4.0
Ruby Red Lettuce,Leafy Green,29,19/3/2020,4.0
Basil,Herb,11,20/3/2020,2.5
Ruby Red Lettuce,Leafy Green,24,20/3/2020,4.0
Green Emerald Lettuce,Leafy Green,38,20/3/2020,4.0
Chye Sim,Leafy Green,39,20/3/2020,3.5
Mint,Herb,10,21/3/2020,2.5
Mizuna,Leafy Green,21,21/3/2020,3.8
Basil,Herb,10,22/3/2020,2.5
Ruby Red Lettuce,Leafy Green,26,22/3/2020,4.0
Chye Sim,Leafy Green,44,23/3/2020,3.5
Mizuna,Leafy Green,33,23/3/2020,3.8
Green Emerald Lettuce,Leafy Green,40,23/3/2020,4.0
Chye Sim,Leafy Green,54,24/3/2020,3.5
Mint,Herb,9,25/3/2020,2.5
Basil,Herb,13,25/3/2020,2.5
Mizuna,Leafy Green,24,25/3/2020,3.8
Green Emerald Lettuce,Leafy Green,50,25/3/2020,4.0
Ruby Red Lettuce,Leafy Green,29,25/3/2020,4.0
Green Emerald Lettuce,Leafy Green,39,26/3/2020,4.0
Mizuna,Leafy Green,22,27/3/2020,3.8
Chye Sim,Leafy Green,31,27/3/2020,3.5
Ruby Red Lettuce,Leafy Green,24,27/3/2020,4.0
Mizuna,Leafy Green,22,28/3/2020,3.8
Ruby Red Lettuce,Leafy Green,34,28/3/2020,4.0
Basil,Herb,15,29/3/2020,2.5
Chye Sim,Leafy Green,42,29/3/2020,3.5
Mint,Herb,8,29/3/2020,2.5
Green Emerald Lettuce,Leafy Green,31,29/3/2020,4.0
Green Emerald Lettuce,Leafy Green,33,30/3/2020,4.0
Chye Sim,Leafy Green,50,31/3/2020,3.5
Ruby Red Lettuce,Leafy Green,30,31/3/2020,4.0
Mizuna,Leafy Green,25,31/3/2020,3.8
Mizuna,Leafy Green,14,1/4/2020,3.8
Green Emerald Lettuce,Leafy Green,42,2/4/2020,4.0
Ruby Red Lettuce,Leafy Green,30,2/4/2020,4.0
Chye Sim,Leafy Green,51,3/4/2020,3.5
Mint,Herb,14,4/4/2020,2.5
Basil,Herb,18,4/4/2020,2.5
Green Emerald Lettuce,Leafy Green,52,5/4/2020,4.0
Chye Sim,Leafy Green,47,5/4/2020,3.5
Ruby Red Lettuce,Leafy Green,36,6/4/2020,4.0
Mizuna,Leafy Green,23,6/4/2020,3.8
Basil,Herb,17,7/4/2020,2.5
Chye Sim,Leafy Green,50,8/4/2020,3.5
Mint,Herb,10,8/4/2020,2.5
Ruby Red Lettuce,Leafy Green,26,8/4/2020,4.0
Green Emerald Lettuce,Leafy Green,46,8/4/2020,4.0
Basil,Herb,12,9/4/2020,2.5
Mizuna,Leafy Green,20,9/4/2020,3.8
Mint,Herb,11,10/4/2020,2.5
Chye Sim,Leafy Green,53,10/4/2020,3.5
Green Emerald Lettuce,Leafy Green,39,11/4/2020,4.0
Ruby Red Lettuce,Leafy Green,30,12/4/2020,4.0
Mizuna,Leafy Green,24,12/4/2020,3.8
Basil,Herb,16,14/4/2020,2.5
Mint,Herb,12,14/4/2020,2.5
Ruby Red Lettuce,Leafy Green,24,15/4/2020,4.0
Chye Sim,Leafy Green,39,15/4/2020,3.5
Green Emerald Lettuce,Leafy Green,40,15/4/2020,4.0
Mizuna,Leafy Green,19,15/4/2020,3.8
Ruby Red Lettuce,Leafy Green,27,16/4/2020,4.0
Green Emerald Lettuce,Leafy Green,48,16/4/2020,4.0
Basil,Herb,18,17/4/2020,2.5
Mizuna,Leafy Green,22,17/4/2020,3.8
Mint,Herb,8,17/4/2020,2.5
Chye Sim,Leafy Green,41,17/4/2020,3.5
Ruby Red Lettuce,Leafy Green,26,19/4/2020,4.0
Chye Sim,Leafy Green,52,19/4/2020,3.5
Mizuna,Leafy Green,23,19/4/2020,3.8
Green Emerald Lettuce,Leafy Green,35,20/4/2020,4.0
Mizuna,Leafy Green,25,21/4/2020,3.8
Ruby Red Lettuce,Leafy Green,28,22/4/2020,4.0
Green Emerald Lettuce,Leafy Green,45,22/4/2020,4.0
Chye Sim,Leafy Green,45,22/4/2020,3.5
Green Emerald Lettuce,Leafy Green,44,23/4/2020,4.0
Basil,Herb,17,23/4/2020,2.5
Mizuna,Leafy Green,19,23/4/2020,3.8
Chye Sim,Leafy Green,50,24/4/2020,3.5
Ruby Red Lettuce,Leafy Green,41,24/4/2020,4.0
Mint,Herb,11,24/4/2020,2.5
Mizuna,Leafy Green,21,25/4/2020,3.8
Green Emerald Lettuce,Leafy Green,36,25/4/2020,4.0
Basil,Herb,11,26/4/2020,2.5
Ruby Red Lettuce,Leafy Green,21,26/4/2020,4.0
Chye Sim,Leafy Green,75,26/4/2020,3.5
Chye Sim,Leafy Green,49,27/4/2020,3.5
Ruby Red Lettuce,Leafy Green,31,27/4/2020,4.0
Mint,Herb,5,27/4/2020,2.5
Green Emerald Lettuce,Leafy Green,59,27/4/2020,4.0
Mint,Herb,2,28/4/2020,2.5
Basil,Herb,4,28/4/2020,2.5
Mizuna,Leafy Green,7,28/4/2020,3.8
Mizuna,Leafy Green,10,29/4/2020,3.8
Green Emerald Lettuce,Leafy Green,29,30/4/2020,4.0
Ruby Red Lettuce,Leafy Green,15,30/4/2020,4.0
Chye Sim,Leafy Green,35,30/4/2020,3.5
Chye Sim,Leafy Green,36,1/5/2020,3.5
Ruby Red Lettuce,Leafy Green,24,1/5/2020,4.0
Basil,Herb,12,2/5/2020,2.5
Mint,Herb,6,2/5/2020,2.5
Green Emerald Lettuce,Leafy Green,22,3/5/2020,4.0
Mizuna,Leafy Green,11,3/5/2020,3.8
Chye Sim,Leafy Green,13,4/5/2020,3.5
Green Emerald Lettuce,Leafy Green,40,5/5/2020,4.0
Basil,Herb,17,5/5/2020,2.5
Ruby Red Lettuce,Leafy Green,34,5/5/2020,4.0
Mizuna,Leafy Green,18,6/5/2020,3.8
Ruby Red Lettuce,Leafy Green,32,7/5/2020,4.0
Mizuna,Leafy Green,19,7/5/2020,3.8
Mint,Herb,9,8/5/2020,2.5
Chye Sim,Leafy Green,67,8/5/2020,3.5
Green Emerald Lettuce,Leafy Green,42,8/5/2020,4.0
Green Emerald Lettuce,Leafy Green,57,10/5/2020,4.0
Mizuna,Leafy Green,25,11/5/2020,3.8
Mint,Herb,15,11/5/2020,2.5
Chye Sim,Leafy Green,39,11/5/2020,3.5
Basil,Herb,19,11/5/2020,2.5
Ruby Red Lettuce,Leafy Green,36,12/5/2020,4.0
Mizuna,Leafy Green,18,13/5/2020,3.8
Green Emerald Lettuce,Leafy Green,50,13/5/2020,4.0
Chye Sim,Leafy Green,44,13/5/2020,3.5
Mint,Herb,13,14/5/2020,2.5
Ruby Red Lettuce,Leafy Green,33,14/5/2020,4.0
Basil,Herb,18,15/5/2020,2.5
Ruby Red Lettuce,Leafy Green,37,16/5/2020,4.0
Green Emerald Lettuce,Leafy Green,41,16/5/2020,4.0
Chye Sim,Leafy Green,49,16/5/2020,3.5
Mizuna,Leafy Green,19,17/5/2020,3.8
Basil,Herb,17,18/5/2020,2.5
Mint,Herb,13,18/5/2020,2.5
Chye Sim,Leafy Green,55,18/5/2020,3.5
Green Emerald Lettuce,Leafy Green,52,19/5/2020,4.0
Mizuna,Leafy Green,18,19/5/2020,3.8
Ruby Red Lettuce,Leafy Green,26,19/5/2020,4.0
Green Emerald Lettuce,Leafy Green,52,20/5/2020,4.0
Mizuna,Leafy Green,19,20/5/2020,3.8
Ruby Red Lettuce,Leafy Green,44,20/5/2020,4.0
Chye Sim,Leafy Green,40,21/5/2020,3.5
Mint,Herb,12,21/5/2020,2.5
Mizuna,Leafy Green,22,22/5/2020,3.8
Ruby Red Lettuce,Leafy Green,22,22/5/2020,4.0
Basil,Herb,18,22/5/2020,2.5
Green Emerald Lettuce,Leafy Green,51,23/5/2020,4.0
Chye Sim,Leafy Green,64,23/5/2020,3.5
Green Emerald Lettuce,Leafy Green,54,24/5/2020,4.0
Chye Sim,Leafy Green,51,24/5/2020,3.5
Mizuna,Leafy Green,20,25/5/2020,3.8
Ruby Red Lettuce,Leafy Green,33,25/5/2020,4.0
Mint,Herb,11,26/5/2020,2.5
Green Emerald Lettuce,Leafy Green,38,27/5/2020,4.0
Mizuna,Leafy Green,20,27/5/2020,3.8
Chye Sim,Leafy Green,39,27/5/2020,3.5
Ruby Red Lettuce,Leafy Green,32,27/5/2020,4.0
Basil,Herb,15,28/5/2020,2.5
Ruby Red Lettuce,Leafy Green,31,28/5/2020,4.0
Mizuna,Leafy Green,24,28/5/2020,3.8
Green Emerald Lettuce,Leafy Green,40,28/5/2020,4.0
Chye Sim,Leafy Green,56,29/5/2020,3.5
Mint,Herb,10,29/5/2020,2.5
Basil,Herb,26,30/5/2020,2.5
Mizuna,Leafy Green,18,31/5/2020,3.8
Ruby Red Lettuce,Leafy Green,27,31/5/2020,4.0
Chye Sim,Leafy Green,48,31/5/2020,3.5
Green Emerald Lettuce,Leafy Green,58,31/5/2020,4.0
Mint,Herb,16,1/6/2020,2.5
Mizuna,Leafy Green,18,2/6/2020,3.8
Basil,Herb,17,2/6/2020,2.5
Ruby Red Lettuce,Leafy Green,30,2/6/2020,4.0
Green Emerald Lettuce,Leafy Green,45,3/6/2020,4.0
Chye Sim,Leafy Green,54,3/6/2020,3.5
Chye Sim,Leafy Green,46,5/6/2020,3.5
Mizuna,Leafy Green,15,5/6/2020,3.8
Mint,Herb,12,5/6/2020,2.5
Basil,Herb,19,5/6/2020,2.5
Green Emerald Lettuce,Leafy Green,38,6/6/2020,4.0
Ruby Red Lettuce,Leafy Green,37,6/6/2020,4.0
Ruby Red Lettuce,Leafy Green,30,7/6/2020,4.0
Mizuna,Leafy Green,17,8/6/2020,3.8
Chye Sim,Leafy Green,69,9/6/2020,3.5
Green Emerald Lettuce,Leafy Green,48,9/6/2020,4.0
Mint,Herb,11,10/6/2020,2.5
Basil,Herb,13,11/6/2020,2.5
Ruby Red Lettuce,Leafy Green,27,11/6/2020,4.0
Mizuna,Leafy Green,20,11/6/2020,3.8
Green Emerald Lettuce,Leafy Green,34,12/6/2020,4.0
Chye Sim,Leafy Green,55,12/6/2020,3.5
Green Emerald Lettuce,Leafy Green,48,13/6/2020,4.0
Ruby Red Lettuce,Leafy Green,29,13/6/2020,4.0
Chye Sim,Leafy Green,45,13/6/2020,3.5
Basil,Herb,19,14/6/2020,2.5
Mint,Herb,14,14/6/2020,2.5
Mizuna,Leafy Green,20,15/6/2020,3.8
Ruby Red Lettuce,Leafy Green,32,17/6/2020,4.0
Basil,Herb,16,17/6/2020,2.5
Mizuna,Leafy Green,19,18/6/2020,3.8
Chye Sim,Leafy Green,48,18/6/2020,3.5
Green Emerald Lettuce,Leafy Green,58,18/6/2020,4.0
Chye Sim,Leafy Green,62,19/6/2020,3.5
Green Emerald Lettuce,Leafy Green,45,20/6/2020,4.0
Mint,Herb,10,20/6/2020,2.5
Mizuna,Leafy Green,24,20/6/2020,3.8
Ruby Red Lettuce,Leafy Green,39,20/6/2020,4.0
Green Emerald Lettuce,Leafy Green,44,21/6/2020,4.0
Ruby Red Lettuce,Leafy Green,46,21/6/2020,4.0
Basil,Herb,21,22/6/2020,2.5
Chye Sim,Leafy Green,51,22/6/2020,3.5
Mizuna,Leafy Green,15,22/6/2020,3.8
Mint,Herb,14,22/6/2020,2.5
Green Emerald Lettuce,Leafy Green,52,23/6/2020,4.0
Chye Sim,Leafy Green,45,23/6/2020,3.5
Mizuna,Leafy Green,20,23/6/2020,3.8
Ruby Red Lettuce,Leafy Green,38,24/6/2020,4.0
Basil,Herb,19,25/6/2020,2.5
Green Emerald Lettuce,Leafy Green,40,26/6/2020,4.0
Chye Sim,Leafy Green,57,26/6/2020,3.5
Ruby Red Lettuce,Leafy Green,37,26/6/2020,4.0
Mizuna,Leafy Green,16,26/6/2020,3.8
Mint,Herb,16,27/6/2020,2.5
Ruby Red Lettuce,Leafy Green,35,27/6/2020,4.0
Green Emerald Lettuce,Leafy Green,49,28/6/2020,4.0
Mizuna,Leafy Green,26,28/6/2020,3.8
Chye Sim,Leafy Green,57,28/6/2020,3.5
Green Emerald Lettuce,Leafy Green,46,29/6/2020,4.0
Chye Sim,Leafy Green,52,29/6/2020,3.5
Mint,Herb,10,29/6/2020,2.5
Mizuna,Leafy Green,14,30/6/2020,3.8
Basil,Herb,24,30/6/2020,2.5
Ruby Red Lettuce,Leafy Green,28,30/6/2020,4.0
Chye Sim,Leafy Green,43,1/7/2020,3.5
Basil,Herb,16,1/7/2020,2.5
Ruby Red Lettuce,Leafy Green,38,2/7/2020,4.0
Mizuna,Leafy Green,17,2/7/2020,3.8
Green Emerald Lettuce,Leafy Green,40,3/7/2020,4.0
Mint,Herb,12,4/7/2020,2.5
Mizuna,Leafy Green,20,4/7/2020,3.8
Ruby Red Lettuce,Leafy Green,39,4/7/2020,4.0
Green Emerald Lettuce,Leafy Green,46,6/7/2020,4.0
Chye Sim,Leafy Green,79,6/7/2020,3.5
Basil,Herb,17,7/7/2020,2.5
Mint,Herb,9,7/7/2020,2.5
Green Emerald Lettuce,Leafy Green,43,8/7/2020,4.0
Ruby Red Lettuce,Leafy Green,29,8/7/2020,4.0
Mizuna,Leafy Green,12,9/7/2020,3.8
Chye Sim,Leafy Green,60,9/7/2020,3.5
Mizuna,Leafy Green,10,10/7/2020,3.8
Mint,Herb,10,11/7/2020,2.5
Ruby Red Lettuce,Leafy Green,23,12/7/2020,4.0
Green Emerald Lettuce,Leafy Green,43,12/7/2020,4.0
Basil,Herb,11,12/7/2020,2.5
Chye Sim,Leafy Green,73,12/7/2020,3.5
Mint,Herb,9,13/7/2020,2.5
Green Emerald Lettuce,Leafy Green,34,14/7/2020,4.0
Chye Sim,Leafy Green,46,14/7/2020,3.5
Mizuna,Leafy Green,16,15/7/2020,3.8
Ruby Red Lettuce,Leafy Green,42,15/7/2020,4.0
Basil,Herb,31,15/7/2020,2.5
Chye Sim,Leafy Green,53,16/7/2020,3.5
Ruby Red Lettuce,Leafy Green,33,16/7/2020,4.0
Green Emerald Lettuce,Leafy Green,42,16/7/2020,4.0
Mizuna,Leafy Green,16,17/7/2020,3.8
Chye Sim,Leafy Green,61,18/7/2020,3.5
Ruby Red Lettuce,Leafy Green,29,18/7/2020,4.0
Mint,Herb,10,18/7/2020,2.5
Green Emerald Lettuce,Leafy Green,46,19/7/2020,4.0
Basil,Herb,17,19/7/2020,2.5
Mizuna,Leafy Green,15,19/7/2020,3.8
Mizuna,Leafy Green,10,20/7/2020,3.8
Green Emerald Lettuce,Leafy Green,32,20/7/2020,4.0
Chye Sim,Leafy Green,65,20/7/2020,3.5
Ruby Red Lettuce,Leafy Green,42,21/7/2020,4.0
Basil,Herb,20,22/7/2020,2.5
Green Emerald Lettuce,Leafy Green,33,22/7/2020,4.0
Chye Sim,Leafy Green,60,22/7/2020,3.5
Mizuna,Leafy Green,16,23/7/2020,3.8
Ruby Red Lettuce,Leafy Green,31,23/7/2020,4.0
Mint,Herb,13,23/7/2020,2.5
Green Emerald Lettuce,Leafy Green,29,24/7/2020,4.0
Ruby Red Lettuce,Leafy Green,38,24/7/2020,4.0
Chye Sim,Leafy Green,63,24/7/2020,3.5
Basil,Herb,18,25/7/2020,2.5
Mint,Herb,12,25/7/2020,2.5
Mizuna,Leafy Green,12,25/7/2020,3.8
Ruby Red Lettuce,Leafy Green,28,26/7/2020,4.0
Mizuna,Leafy Green,13,26/7/2020,3.8
Chye Sim,Leafy Green,38,26/7/2020,3.5
Green Emerald Lettuce,Leafy Green,31,27/7/2020,4.0
Ruby Red Lettuce,Leafy Green,36,28/7/2020,4.0
Chye Sim,Leafy Green,48,28/7/2020,3.5
Mint,Herb,9,29/7/2020,2.5
Green Emerald Lettuce,Leafy Green,37,29/7/2020,4.0
Mizuna,Leafy Green,12,29/7/2020,3.8
Green Emerald Lettuce,Leafy Green,42,30/7/2020,4.0
Mizuna,Leafy Green,11,30/7/2020,3.8
Basil,Herb,13,30/7/2020,2.5
Chye Sim,Leafy Green,47,31/7/2020,3.5
Ruby Red Lettuce,Leafy Green,36,31/7/2020,4.0
Green Emerald Lettuce,Leafy Green,27,1/8/2020,4.0
Chye Sim,Leafy Green,55,2/8/2020,3.5
Mizuna,Leafy Green,17,2/8/2020,3.8
Ruby Red Lettuce,Leafy Green,29,2/8/2020,4.0
Mint,Herb,10,4/8/2020,2.5
Basil,Herb,20,4/8/2020,2.5
Green Emerald Lettuce,Leafy Green,41,4/8/2020,4.0
Mizuna,Leafy Green,14,4/8/2020,3.8
Mint,Herb,5,5/8/2020,2.5
Chye Sim,Leafy Green,34,5/8/2020,3.5
Basil,Herb,10,6/8/2020,2.5
Ruby Red Lettuce,Leafy Green,26,6/8/2020,4.0
Ruby Red Lettuce,Leafy Green,24,7/8/2020,4.0
Green Emerald Lettuce,Leafy Green,22,8/8/2020,4.0
Basil,Herb,12,9/8/2020,2.5
Chye Sim,Leafy Green,38,9/8/2020,3.5
Mizuna,Leafy Green,9,9/8/2020,3.8
Mizuna,Leafy Green,14,10/8/2020,3.8
Ruby Red Lettuce,Leafy Green,30,10/8/2020,4.0
Green Emerald Lettuce,Leafy Green,34,10/8/2020,4.0
Chye Sim,Leafy Green,62,11/8/2020,3.5
Mint,Herb,8,11/8/2020,2.5
Mizuna,Leafy Green,14,13/8/2020,3.8
Mint,Herb,11,14/8/2020,2.5
Chye Sim,Leafy Green,56,14/8/2020,3.5
Ruby Red Lettuce,Leafy Green,26,14/8/2020,4.0
Basil,Herb,19,15/8/2020,2.5
Green Emerald Lettuce,Leafy Green,43,15/8/2020,4.0
Mizuna,Leafy Green,14,17/8/2020,3.8
Basil,Herb,12,17/8/2020,2.5
Green Emerald Lettuce,Leafy Green,39,17/8/2020,4.0
Ruby Red Lettuce,Leafy Green,24,17/8/2020,4.0
Chye Sim,Leafy Green,59,17/8/2020,3.5
Ruby Red Lettuce,Leafy Green,33,18/8/2020,4.0
Green Emerald Lettuce,Leafy Green,29,19/8/2020,4.0
Mizuna,Leafy Green,14,19/8/2020,3.8
Chye Sim,Leafy Green,57,19/8/2020,3.5
Mint,Herb,11,20/8/2020,2.5
Mizuna,Leafy Green,17,21/8/2020,3.8
Ruby Red Lettuce,Leafy Green,27,21/8/2020,4.0
Chye Sim,Leafy Green,38,21/8/2020,3.5
Basil,Herb,20,21/8/2020,2.5
Green Emerald Lettuce,Leafy Green,33,21/8/2020,4.0
Mizuna,Leafy Green,14,22/8/2020,3.8
Green Emerald Lettuce,Leafy Green,30,22/8/2020,4.0
Ruby Red Lettuce,Leafy Green,24,23/8/2020,4.0
Chye Sim,Leafy Green,42,23/8/2020,3.5
